¿Qué es el grupo ideas?;Es un grupo de incubación de trabajos de investigación de alumnos
¿Cómo se originó el grupo ideas?;se originó por la inquietud de un grupo de ingenieros y alumnos avanzados de la carrera Ingeniería en Informática, interesados en la Investigación
¿Cuál es el objetivo del grupo ideas?;El objetivo general es brindar apoyo a los alumnos para desarrollar los proyectos que tengan en mente, guiando y enmarcándolo en un proyecto formal.
¿A qué carreras está orientado la contribución del grupo ideas?;El grupo IDEAS está principalmente dirigido a las carreras de Ingeniería de la Universidad Católica de Salta. 
¿Cuándo Surgió el grupo ideas?;Sus primeras publicaciones oficiales son desde 2019
¿Quiénes conforman el grupo ideas? Actualmente donde se los puede encontrar para hacer consultas?;El grupo IDEAS está conformado por un conjunto de profesionales pertenecientes a la UCASAL, los cuales puedes ver en la página de IDEAS.Cada integrante, desde sus perspectivas y alcance, se encargará de brindar apoyo y coordinar la ayuda necesaria a los proyectos del grupo IDEAS.
¿Quiénes participan en el grupo ideas?;El grupo IDEAS está conformado por un conjunto de profesionales pertenecientes a la UCASAL, los cuales puedes ver en la página de IDEAS.Cada integrante, desde sus perspectivas y alcance, se encargará de brindar apoyo y coordinar la ayuda necesaria a los proyectos del grupo IDEAS.
¿Qué ventajas o beneficios académicos trae participar en el grupo ideas?;El grupo IDEAS se encargará de guiarte, brindarte apoyo y eventualmente conformar un equipo de trabajo capaz de llevar a cabo el proyecto que tienes en mente. Además, facilitará la participación en distintos congresos nacionales, eventuales ayudas económicas, y reconocimiento por parte de la UCASAL.
¿Qué tipo de ideas pueden ser propuestas al grupo?;Todo tipo de propuesta es válida.
Durante el año, ¿qué debemos realizar?;La planificación de actividades dependerá de cada proyecto, aunque todos concluyen en algo en común: la presentación de un paper en un congreso nacional.
¿Qué ayuda nos proveen los miembros del grupo?;Cada integrante del grupo, desde sus perspectivas y alcance, se encargará de brindar apoyo y coordinar la ayuda necesaria a los proyectos del grupo IDEAS.
¿Cuántas personas pueden trabajar en la misma idea?;No hay límite. Dependerá del alcance del proyecto.
¿Cuántos proyectos pueden proponerse al año?;No hay límite.
¿Las ideas tienen que ser orientadas al beneficio de la sociedad?;Pueden ser ideas de todo tipo, mientras claramente busquen cubrir una necesidad puntual.
¿A partir de qué año podemos participar en el grupo?;No hay ningún tipo de requisito! Sólo es necesario una buena idea para llevar a cabo. Si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.
¿Qué materias tenemos que tener aprobadas para participar en el grupo?;No hay ningún tipo de requisito! Sólo es necesario una buena idea para llevar a cabo. Si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.
¿Qué habilidades debo tener para participar en el grupo?;No hay ningún tipo de requisito! Sólo es necesario una buena idea para llevar a cabo. Si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.
¿Qué deberia saber antes, para poder participar en el grupo ideas?;No hay ningún tipo de requisito! Sólo es necesario una buena idea para llevar a cabo. Si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.
¿Qué conocimientos debo tener para participar en el grupo?;No hay ningún tipo de requisito! Sólo es necesario una buena idea para llevar a cabo. Si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.
¿Qué es el conaiisi?;El CONAIISI (Congreso Nacional de Ingeniería en Informática y Sistemas de Información) es un espacio para la divulgación de las actividades de investigación de docentes y estudiantes de las carreras de Informática. Se realiza todos los años en distintas universidades. Se participa enviando artículos científicos sobre ideas innovadoras o soluciones a problemas reales.
¿Qué es el conaisi?;El CONAIISI (Congreso Nacional de Ingeniería en Informática y Sistemas de Información) es un espacio para la divulgación de las actividades de investigación de docentes y estudiantes de las carreras de Informática. Se realiza todos los años en distintas universidades. Se participa enviando artículos científicos sobre ideas innovadoras o soluciones a problemas reales.
¿Para que proponemos nuestras ideas en el congreso?;Para dar a conocer a la comunidad académica las soluciones desarrolladas o los avances en investigaciones. 
¿Qué ventajas tiene llegar a participar allí?;Podés conocer alumnos y docentes de otras universidades y saber en qué temáticas están trabajando. Además tu trabajo puede ser elegido como uno de los mejores entre los trabajos de alumnos.
¿Como podemos participar en el conaiisi?;Se participa enviando artículos científicos sobre ideas innovadoras o soluciones a problemas reales.
¿Cuándo Usualmente se realiza?;A inicios de Septiembre.
¿Después de que presente mi proyecto que sigue?;Las posibilidades son infinitas:Puede convertirse en tu proyecto de grado o en el de otra persona.Puedes seguir presentando proyectos relacionados. Puedes alinearte a una línea de investigación de la Facultad de Ingeniería de la UCASAL. Puedes desarrollar el producto de la idea.
¿En qué puede llegar a convertirse mi idea?;Las posibilidades son infinitas:Puede convertirse en tu proyecto de grado o en el de otra persona.Puedes seguir presentando proyectos relacionados. Puedes alinearte a una línea de investigación de la Facultad de Ingeniería de la UCASAL. Puedes desarrollar el producto de la idea.
¿Como formulo la idea de mi proyecto?;Al comienzo del ciclo del lectivo se realiza la convocatoria para la presentación de proyectos. En ese momento se comunicara mas detalles sobre como encarar la realizacion del proyecto.
¿Qué es un proyecto de extensión?;soluciones concretas a un problema social determinado, abordándolo de una manera interdisciplinaria y con el trabajo mancomunado de alumnos, docentes, graduados de UCASAL con la colaboración externa de empresas, ONGS y Estado.
¿Qué es un proyecto de investigación?;es un proceso que, mediante la aplicación del método científico, está encaminado a conseguir información medible para concebir, comprobar, corregir o ampliar el conocimiento.
¿Mi idea puede convertirse en un proyecto de grado?;Si, en tu proyecto de grado o en el proyecto de grado otra persona que decida trabajar sobre las futuras líneas de investigación o inconvenientes a resolver que hayas planteado en tu trabajo.
¿Qué cosas debería tener en cuenta para formular mi idea?; Hay diversas cosas a tener en consideracion pero ese camino no lo cruzaras solo! nosotros en el grupo te guiaremos para que logres concretar tu
¿Quién evalúa nuestras propuestas/proyectos/ideas?;Todos los integrantes del grupo IDEAS analizan las propuestas con la intención de buscar la viabilidad de la idea principal, o alguna otra que se desprenda de ella. El análisis no se hace con intención de aprobar/rechazar propuestas. 
¿Como se evalúan las propuestas en el conaiisi?;La comunidad académica participa presentando trabajos, enviando artículos científicos originales sobre ideas innovadoras, soluciones desarrolladas que aborden problemas reales, trabajos empíricos, estudios de caso, etc., en el dominio de los sistemas y tecnologías de la información, que se encuadren en las temáticas de la conferencia.
¿Qué proyectos de investigación se están desarrollando actualmente en la universidad?;Con respecto a esto te invitamos a revisar la pagina de la facultad donde podras ver los proyectos y los grupos de investigacion en curso. 
¿Puedo realizar propuestas con gente de otras carreras?;Todo tipo de propuesta es válida.
¿Puedo realizar propuestas con chicos que no estén inscriptos en la universidad?;Todas las personas son bienvenidas, siempre y cuando al menos un integrante del grupo pertenezca a la UCASAL.
¿Como postulo una idea?; No existen restricciones para proponer tu idea. Si quieres postularte ya sea para participar en un proyecto ya existente o proponer una idea propia, solo necesitas contactarte con un miembro del grupo. Dichos datos estan en el sitio web del grupo.
¿Como propongo una idea?;No existen restricciones para proponer tu idea. Si quieres postularte ya sea para participar en un proyecto ya existente o proponer una idea propia, solo necesitas contactarte con un miembro del grupo. Dichos datos estan en el sitio web del grupo.
¿Qué ventajas obtengo de participar en ideas?;Podés conocer alumnos y docentes de otras universidades y saber en qué temáticas están trabajando. Además tu trabajo puede ser elegido como uno de los mejores entre los trabajos de alumnos.cuantos proyectos puedo hacer?;no hay límite.estudiantes de que carrera pueden participar?;todo tipo de propuesta es válida.
¿Estudiantes de que carrera pueden participar?;El grupo IDEAS está principalmente dirigido a las carreras de Ingeniería de la Universidad Católica de Salta. Sin Embargo, todas las personas son bienvenidas!desde que año podemos participar?;no hay ningún tipo de requisito! sólo es necesario una buena idea para llevar a cabo. si no se te ocurre ninguna idea, no te preocupes! puedes sumarte al equipo de trabajo de algún otro proyecto presentado.me quiero matar;cada integrante del grupo, desde sus perspectivas y alcance, se encargará de brindar apoyo y coordinar la ayuda necesaria a los proyectos del grupo ideas.que es el conaisi?;es un grupo de incubación de trabajos de investigación de alumnoscuantos integrantes puede tener un grupo?;no hay límite.que es el anime?;es un grupo de incubación de trabajos de investigación de alumnosporno;cada integrante del grupo, desde sus perspectivas y alcance, se encargará de brindar apoyo y coordinar la ayuda necesaria a los proyectos del grupo ideas.proyectos;es un proceso que, mediante la aplicación del método científico, está encaminado a conseguir información medible para concebir, comprobar, corregir o ampliar el conocimiento.que es el peronismo?;es un grupo de incubación de trabajos de investigación de alumnosdespues de esto que sigue?;las posibilidades son infinitas:puede convertirse en tu proyecto de grado o en el de otra persona.puedes seguir presentando proyectos relacionados. puedes alinearte a una línea de investigación de la facultad de ingeniería de la ucasal. puedes desarrollar el producto de la idea.